test,provider,scores,none,c_compile,c_functional,c_almost,c_functional_subset,n,pass@5_compile,pass@5_func,pass@1_compile,pass@1_func,pass@10_compile,pass@10_func
apigatewayv2_api,aws,11001211010111101021,6,12,2,0,0,20,0.9996130030959752,0.4473684210526315,0.7,0.09999999999999998,1.0,0.763157894736842
dynamodb_table,aws,00000000000000000000,20,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0
iam_role,aws,22222222202222222202,2,0,18,0,0,20,1.0,1.0,0.8999999999999999,0.8999999999999999,1.0,1.0
instance,aws,22200202220022000002,10,0,10,0,0,20,0.9837461300309598,0.9837461300309598,0.4999999999999999,0.4999999999999999,0.9999945874558878,0.9999945874558878
lambda,aws,02020111112022102122,5,7,8,0,0,20,0.9999355005159959,0.9489164086687306,0.75,0.4,1.0,0.9996427720885925
lambda_hard,aws,42002002022202000022,10,0,9,0,1,20,0.9837461300309598,0.9837461300309598,0.4999999999999999,0.4999999999999999,0.9999945874558878,0.9999945874558878
lb,aws,11111111111111111111,0,20,0,0,0,20,1.0,0.0,1.0,0.0,1.0,0.0
lb_hard,aws,00000000033333333333,9,0,0,11,0,20,1.0,0.4473684210526315,0.85,0.09999999999999998,1.0,0.763157894736842
aws_provider,aws,022202222000020222202,8,0,13,0,0,21,0.9972480220158239,0.9972480220158239,0.6190476190476191,0.6190476190476191,1.0,1.0
s3_bucket,aws,0000000002,9,0,1,0,0,10,0.5,0.5,0.09999999999999998,0.09999999999999998,1.0,1.0
vpc,aws,22222222220222222222,1,0,19,0,0,20,1.0,1.0,0.95,0.95,1.0,1.0
function_app_hard,azurerm,01000000000000000000,19,1,0,0,0,20,0.25,0.0,0.050000000000000044,0.0,0.5,0.0
provider_block_azure,azurerm,00022021111111200000,9,7,4,0,0,20,0.9918730650154799,0.7182662538699691,0.5499999999999998,0.20000000000000007,1.0,0.956656346749226
resource_group,azurerm,11111111200020200000,9,8,3,0,0,20,0.9918730650154799,0.6008771929824561,0.5499999999999998,0.15000000000000002,1.0,0.8947368421052632
security_group,azurerm,00000022220102122122,8,3,9,0,0,20,0.9963880288957688,0.9702012383900929,0.6000000000000001,0.44999999999999984,1.0,0.9999404620147654
storage_account,azurerm,00022002020202000200,13,0,7,0,0,20,0.9169891640866873,0.9169891640866873,0.3500000000000001,0.3500000000000001,0.9984520123839009,0.9984520123839009
subnet,azurerm,02000000000000020200,17,0,3,0,0,20,0.6008771929824561,0.6008771929824561,0.15000000000000002,0.15000000000000002,0.8947368421052632,0.8947368421052632
virtual_network,azurerm,02222202202211112121,3,6,11,0,0,20,1.0,0.9918730650154799,0.85,0.5499999999999998,1.0,1.0
cloudfunctions2_function,google,22111111111111111211,0,17,3,0,0,20,1.0,0.6008771929824561,1.0,0.15000000000000002,1.0,0.8947368421052632
compute_firewall,google,22111212222202122222,1,5,14,0,0,20,1.0,0.9996130030959752,0.95,0.7,1.0,1.0
compute_instance,google,22222020202222222222,3,0,17,0,0,20,1.0,1.0,0.85,0.85,1.0,1.0
compute_subnetworks,google,11111111111111111112,0,19,1,0,0,20,1.0,0.25,1.0,0.050000000000000044,1.0,0.5
google_prov_block,google,22022022202022222220,5,0,15,0,0,20,0.9999355005159959,0.9999355005159959,0.75,0.75,1.0,1.0
storage_bucket,google,22212222202220020222,4,1,15,0,0,20,1.0,0.9999355005159959,0.7999999999999999,0.75,1.0,1.0
storage_bucket_website,google,00000000000100000000,19,1,0,0,0,20,0.25,0.0,0.050000000000000044,0.0,0.5,0.0
few_variables,terraform_basics,11111111111111111111,0,20,0,0,0,20,1.0,0.0,1.0,0.0,1.0,0.0
one_output,terraform_basics,22212222122122121222,0,5,15,0,0,20,1.0,0.9999355005159959,1.0,0.75,1.0,1.0
one_variable,terraform_basics,01110101101111111101,5,15,0,0,0,20,0.9999355005159959,0.0,0.75,0.0,1.0,0.0
output_and_variable,terraform_basics,22222222112212122222,0,4,16,0,0,20,1.0,1.0,1.0,0.7999999999999999,1.0,1.0
